DiseaseIndex,DiseaseID,DrugIndex,DrugID
1,DIS02PWG,208,DM2HKC4
1,DIS02PWG,753,DM9ZMQH
1,DIS02PWG,1098,DMF2JDG
1,DIS02PWG,1195,DMG8K57
1,DIS02PWG,1210,DMGEMB7
1,DIS02PWG,1361,DMI9PRJ
1,DIS02PWG,1429,DMJ90O5
1,DIS02PWG,1680,DMMWZET
1,DIS02PWG,1917,DMQ8FR2
1,DIS02PWG,2223,DMUI0CH
1,DIS02PWG,2260,DMUXP52
1,DIS02PWG,2396,DMWVCF3
2,DIS0301E,27,DM0CVXA
2,DIS0301E,592,DM7HXWT
2,DIS0301E,613,DM7RJXL
2,DIS0301E,1300,DMHL7OB
2,DIS0301E,1469,DMJV2EK
2,DIS0301E,1809,DMOQVU9
2,DIS0301E,1888,DMPU2WX
2,DIS0301E,2309,DMVR628
2,DIS0301E,2469,DMXYJ9C
2,DIS0301E,2501,DMYGJQO
3,DIS04U9T,2064,DMS9503
3,DIS04U9T,2315,DMVTHER
3,DIS04U9T,2396,DMWVCF3
4,DIS05URM,11,DM05FXR
4,DIS05URM,86,DM13P4C
4,DIS05URM,138,DM1S4AG
4,DIS05URM,173,DM23D7J
4,DIS05URM,194,DM2AR7L
4,DIS05URM,204,DM2F8XZ
4,DIS05URM,228,DM2QHZU
4,DIS05URM,289,DM3P5DA
4,DIS05URM,383,DM4ZLFD
4,DIS05URM,483,DM672AH
4,DIS05URM,485,DM68FSZ
4,DIS05URM,518,DM6LOQU
4,DIS05URM,540,DM6WJO9
4,DIS05URM,565,DM78IME
4,DIS05URM,582,DM7EN8I
4,DIS05URM,662,DM8JG0K
4,DIS05URM,688,DM8VCBE
4,DIS05URM,746,DM9UB0P
4,DIS05URM,815,DMAT2XH
4,DIS05URM,821,DMAY7H4
4,DIS05URM,1090,DMEWUPF
4,DIS05URM,1170,DMFYBD0
4,DIS05URM,1231,DMGN4BY
4,DIS05URM,1564,DML5VQ0
4,DIS05URM,1573,DMLB7GT
4,DIS05URM,1843,DMP7LK1
4,DIS05URM,1869,DMPIHLS
4,DIS05URM,2034,DMRQD04
4,DIS05URM,2071,DMSC4A7
4,DIS05URM,2163,DMTK234
4,DIS05URM,2279,DMV7IM6
4,DIS05URM,2393,DMWUIJE
4,DIS05URM,2409,DMX34L7
4,DIS05URM,2448,DMXLKHV
4,DIS05URM,2505,DMYK490
4,DIS05URM,2551,DMZ3OU6
4,DIS05URM,2554,DMZ5RGV
5,DIS070UC,2072,DMSCDY9
6,DIS07FAB,2210,DMU8V4S
7,DIS08UKE,1244,DMGR98T
7,DIS08UKE,1723,DMNLHAC
8,DIS093I0,55,DM0N85H
8,DIS093I0,362,DM4O2Z7
8,DIS093I0,1414,DMIZKOP
8,DIS093I0,2312,DMVRLT7
8,DIS093I0,2469,DMXYJ9C
9,DIS0AFR7,2,DM02A65
9,DIS0AFR7,33,DM0E6S3
9,DIS0AFR7,38,DM0GQ8N
9,DIS0AFR7,92,DM14RF5
9,DIS0AFR7,206,DM2G9AE
9,DIS0AFR7,266,DM3DGSG
9,DIS0AFR7,393,DM53IP1
9,DIS0AFR7,408,DM5D9YK
9,DIS0AFR7,597,DM7IW9J
9,DIS0AFR7,599,DM7JHX0
9,DIS0AFR7,680,DM8RZ9H
9,DIS0AFR7,798,DMAL4G0
9,DIS0AFR7,889,DMBW7VH
9,DIS0AFR7,904,DMC5AST
9,DIS0AFR7,1072,DMEGIQ6
9,DIS0AFR7,1083,DMEOSTQ
9,DIS0AFR7,1087,DMETYK5
9,DIS0AFR7,1089,DMEWC7N
9,DIS0AFR7,1152,DMFNH7L
9,DIS0AFR7,1209,DMGE0CW
9,DIS0AFR7,1214,DMGFWSM
9,DIS0AFR7,1234,DMGNYNO
9,DIS0AFR7,1243,DMGR5Z3
9,DIS0AFR7,1327,DMHTB31
9,DIS0AFR7,1349,DMI53FU
9,DIS0AFR7,1428,DMJ8NMC
9,DIS0AFR7,1493,DMK57GB
9,DIS0AFR7,1535,DMKQTBA
9,DIS0AFR7,1545,DMKWFBT
9,DIS0AFR7,1550,DMKY8V1
9,DIS0AFR7,1595,DMLOQ1V
9,DIS0AFR7,1769,DMOC1BX
9,DIS0AFR7,1806,DMOPGHQ
9,DIS0AFR7,1822,DMOWK6B
9,DIS0AFR7,1866,DMPI6Z0
9,DIS0AFR7,1867,DMPI98T
9,DIS0AFR7,2313,DMVRYT2
9,DIS0AFR7,2380,DMWOSKJ
9,DIS0AFR7,2483,DMY4D87
9,DIS0AFR7,2581,DMZGXUM
10,DIS0BM1I,605,DM7NKEV
10,DIS0BM1I,669,DM8L9D4
10,DIS0BM1I,681,DM8S6T7
10,DIS0BM1I,697,DM8Y4JS
10,DIS0BM1I,1300,DMHL7OB
10,DIS0BM1I,1354,DMI6E0R
10,DIS0BM1I,1582,DMLFZHD
10,DIS0BM1I,1617,DMM0XGL
10,DIS0BM1I,1862,DMPH916
10,DIS0BM1I,1880,DMPOU5H
10,DIS0BM1I,1955,DMQUSBT
10,DIS0BM1I,2139,DMT81LZ
10,DIS0BM1I,2155,DMTI0ZO
10,DIS0BM1I,2498,DMYE5LJ
11,DIS0D2NT,1207,DMGD3YH
11,DIS0D2NT,1554,DML0B41
11,DIS0D2NT,2609,DMZTGN2
12,DIS0DFZ0,202,DM2ET1M
12,DIS0DFZ0,207,DM2HG4X
12,DIS0DFZ0,324,DM48K0X
12,DIS0DFZ0,362,DM4O2Z7
12,DIS0DFZ0,401,DM58WKG
12,DIS0DFZ0,463,DM5XPIJ
12,DIS0DFZ0,523,DM6OC53
12,DIS0DFZ0,525,DM6Q7U4
12,DIS0DFZ0,540,DM6WJO9
12,DIS0DFZ0,548,DM70BU5
12,DIS0DFZ0,619,DM7UP8X
12,DIS0DFZ0,693,DM8X2EH
12,DIS0DFZ0,955,DMCVJ86
12,DIS0DFZ0,1258,DMGW1ID
12,DIS0DFZ0,1385,DMINOX3
12,DIS0DFZ0,1469,DMJV2EK
12,DIS0DFZ0,1479,DMJZHT1
12,DIS0DFZ0,1680,DMMWZET
12,DIS0DFZ0,1714,DMNH3PG
12,DIS0DFZ0,1727,DMNO38U
12,DIS0DFZ0,1767,DMOBIKY
12,DIS0DFZ0,1798,DMOLNHF
12,DIS0DFZ0,2010,DMRHGI9
12,DIS0DFZ0,2143,DMTA5OE
12,DIS0DFZ0,2152,DMTGBAX
12,DIS0DFZ0,2305,DMVP5YE
12,DIS0DFZ0,2375,DMWMPD4
12,DIS0DFZ0,2442,DMXJ7O8
12,DIS0DFZ0,2475,DMXZRW0
12,DIS0DFZ0,2573,DMZD5QR
13,DIS0DGX4,96,DM15HL8
13,DIS0DGX4,358,DM4ME02
13,DIS0DGX4,1395,DMIR5QP
13,DIS0DGX4,2485,DMY5JEP
14,DIS0GXTE,457,DM5V9U1
14,DIS0GXTE,846,DMB9PKJ
15,DIS0HQZH,952,DMCT3I8
16,DIS0HU8N,1266,DMH0ZJE
16,DIS0HU8N,1298,DMHKDO8
16,DIS0HU8N,2230,DMUKMC8
16,DIS0HU8N,2350,DMWAG4J
17,DIS0I87H,243,DM2YGNW
17,DIS0I87H,1385,DMINOX3
17,DIS0I87H,1714,DMNH3PG
17,DIS0I87H,2305,DMVP5YE
18,DIS0IHMD,105,DM1AGXN
19,DIS0IJEF,694,DM8X4A1
19,DIS0IJEF,967,DMD02QS
19,DIS0IJEF,2194,DMU1XOD
19,DIS0IJEF,2212,DMU9D2F
22,DIS0JTN6,613,DM7RJXL
23,DIS0M750,1433,DMJAPE7
24,DIS0MMFT,595,DM7ICNU
24,DIS0MMFT,1820,DMOVH1M
24,DIS0MMFT,2145,DMTAJQE
24,DIS0MMFT,2299,DMVN5OH
24,DIS0MMFT,2396,DMWVCF3
24,DIS0MMFT,2563,DMZA017
24,DIS0MMFT,2578,DMZEPFJ
25,DIS0MRKJ,207,DM2HG4X
25,DIS0MRKJ,331,DM4BDON
25,DIS0MRKJ,716,DM98IXF
25,DIS0MRKJ,790,DMAHJEF
25,DIS0MRKJ,1195,DMG8K57
25,DIS0MRKJ,1210,DMGEMB7
25,DIS0MRKJ,1680,DMMWZET
25,DIS0MRKJ,1917,DMQ8FR2
26,DIS0NMK3,243,DM2YGNW
26,DIS0NMK3,1385,DMINOX3
26,DIS0NMK3,1714,DMNH3PG
26,DIS0NMK3,2305,DMVP5YE
27,DIS0NZSB,1795,DMOL5IU
28,DIS0O0AU,2159,DMTIVEN
29,DIS0PH5V,373,DM4S3O8
30,DIS0QADF,396,DM548TK
30,DIS0QADF,693,DM8X2EH
30,DIS0QADF,826,DMAZJFX
30,DIS0QADF,1258,DMGW1ID
30,DIS0QADF,2557,DMZ7XNQ
31,DIS0QBRC,1501,DMK9BP2
32,DIS0QDLG,1098,DMF2JDG
33,DIS0R2VM,207,DM2HG4X
33,DIS0R2VM,331,DM4BDON
33,DIS0R2VM,716,DM98IXF
33,DIS0R2VM,790,DMAHJEF
33,DIS0R2VM,1195,DMG8K57
33,DIS0R2VM,1680,DMMWZET
33,DIS0R2VM,1917,DMQ8FR2
34,DIS0RGK9,1408,DMIXC7G
35,DIS0RQ2E,1908,DMQ2FPC
35,DIS0RQ2E,2053,DMS3GVE
36,DIS0RYDF,1864,DMPHXMI
37,DIS0SVD1,709,DM93L4X
38,DIS0TC0G,207,DM2HG4X
38,DIS0TC0G,331,DM4BDON
38,DIS0TC0G,354,DM4LT8A
38,DIS0TC0G,716,DM98IXF
38,DIS0TC0G,790,DMAHJEF
38,DIS0TC0G,825,DMAYX6P
38,DIS0TC0G,1195,DMG8K57
38,DIS0TC0G,1210,DMGEMB7
38,DIS0TC0G,1404,DMIUYFH
38,DIS0TC0G,1680,DMMWZET
38,DIS0TC0G,1917,DMQ8FR2
40,DIS0U6CJ,1908,DMQ2FPC
41,DIS0UITQ,628,DM804UR
42,DIS0VQYF,294,DM3RGV5
42,DIS0VQYF,440,DM5OY70
42,DIS0VQYF,805,DMAP8MV
42,DIS0VQYF,1076,DMEMBJC
42,DIS0VQYF,1107,DMF699X
42,DIS0VQYF,2324,DMVYD7I
42,DIS0VQYF,2537,DMYY0AJ
43,DIS0VUZL,442,DM5PDRB
44,DIS0WGPC,2064,DMS9503
45,DIS0X75X,2084,DMSIMD8
47,DIS0XXBJ,144,DM1TMA3
47,DIS0XXBJ,716,DM98IXF
47,DIS0XXBJ,1505,DMKB9FI
47,DIS0XXBJ,2506,DMYKNME
48,DIS0YD2E,453,DM5T6US
49,DIS10XOM,1523,DMKINJO
49,DIS10XOM,2396,DMWVCF3
50,DIS13V4C,1831,DMOYJFK
51,DIS152XL,293,DM3R8YL
52,DIS15SCZ,358,DM4ME02
52,DIS15SCZ,2064,DMS9503
52,DIS15SCZ,2491,DMY8NC4
53,DIS15W6U,569,DM79NTF
53,DIS15W6U,602,DM7JT24
53,DIS15W6U,770,DMA7PEW
53,DIS15W6U,794,DMAI7ZV
53,DIS15W6U,925,DMCIJBH
53,DIS15W6U,1011,DMDJW5K
53,DIS15W6U,1476,DMJYCVW
53,DIS15W6U,1549,DMKXY2R
53,DIS15W6U,1923,DMQCTIH
53,DIS15W6U,2468,DMXY30O
55,DIS175N9,1324,DMHSY1I
55,DIS175N9,1841,DMP6SC2
55,DIS175N9,1941,DMQNWRD
55,DIS175N9,2181,DMTS85L
55,DIS175N9,2235,DMUM7HZ
56,DIS178WT,893,DMBYQEC
56,DIS178WT,1331,DMHVJFK
56,DIS178WT,2191,DMTYOPD
57,DIS17AI2,843,DMB6VEG
58,DIS17SNY,1681,DMMX2E6
58,DIS17SNY,2010,DMRHGI9
59,DIS184KT,700,DM8YXKW
60,DIS18R3K,1324,DMHSY1I
61,DIS19659,240,DM2WE5K
62,DIS19CIB,617,DM7U4ZA
63,DIS19L71,179,DM25HP1
64,DIS1A2CS,213,DM2KZ7I
64,DIS1A2CS,258,DM3906J
64,DIS1A2CS,2435,DMXE76K
65,DIS1A2OI,277,DM3JFIH
65,DIS1A2OI,1157,DMFP6MV
65,DIS1A2OI,1823,DMOWLVG
66,DIS1AK7Q,1795,DMOL5IU
67,DIS1AVVE,55,DM0N85H
67,DIS1AVVE,525,DM6Q7U4
67,DIS1AVVE,548,DM70BU5
67,DIS1AVVE,619,DM7UP8X
67,DIS1AVVE,1385,DMINOX3
67,DIS1AVVE,1727,DMNO38U
67,DIS1AVVE,1882,DMPQAGE
67,DIS1AVVE,1995,DMRBMAU
67,DIS1AVVE,2074,DMSE3I7
67,DIS1AVVE,2305,DMVP5YE
67,DIS1AVVE,2312,DMVRLT7
67,DIS1AVVE,2557,DMZ7XNQ
68,DIS1AW2Z,28,DM0D9YJ
68,DIS1AW2Z,76,DM0VQN3
68,DIS1AW2Z,346,DM4K7GQ
68,DIS1AW2Z,356,DM4M1SG
68,DIS1AW2Z,492,DM6AN32
68,DIS1AW2Z,595,DM7ICNU
68,DIS1AW2Z,840,DMB4HCT
68,DIS1AW2Z,1326,DMHT34O
68,DIS1AW2Z,1413,DMIZ6W2
68,DIS1AW2Z,2060,DMS60RB
68,DIS1AW2Z,2061,DMS6UOE
68,DIS1AW2Z,2090,DMSL679
68,DIS1AW2Z,2210,DMU8V4S
68,DIS1AW2Z,2396,DMWVCF3
68,DIS1AW2Z,2553,DMZ4P3A
69,DIS1CYA2,676,DM8QM5U
69,DIS1CYA2,2296,DMVM6QR
70,DIS1D29X,595,DM7ICNU
70,DIS1D29X,2396,DMWVCF3
72,DIS1EPQ3,1556,DML1538
73,DIS1G4NZ,2470,DMXYJOB
74,DIS1GS6H,1430,DMJ93CT
74,DIS1GS6H,2463,DMXRK1D
75,DIS1H502,817,DMAT8CG
75,DIS1H502,1264,DMH07Y3
75,DIS1H502,1731,DMNP60F
76,DIS1H91S,1432,DMJAGXQ
77,DIS1IYUN,1779,DMOFFAR
77,DIS1IYUN,1978,DMR3S9B
78,DIS1JCGA,1607,DMLT0E1
79,DIS1K07K,2217,DMUDIR8
80,DIS1K9V6,204,DM2F8XZ
80,DIS1K9V6,1172,DMFZBMQ
80,DIS1K9V6,1180,DMG2KI4
80,DIS1K9V6,1181,DMG2KW7
80,DIS1K9V6,1695,DMN5T2A
80,DIS1K9V6,1901,DMPZI3Q
80,DIS1K9V6,2228,DMUK75B
80,DIS1K9V6,2556,DMZ6VEY
81,DIS1KXME,326,DM49DUI
81,DIS1KXME,495,DM6AVR4
81,DIS1KXME,1180,DMG2KI4
82,DIS1KZD2,948,DMCSLZ4
83,DIS1LBC6,88,DM13VTW
83,DIS1LBC6,1826,DMOWZ6B
83,DIS1LBC6,2145,DMTAJQE
84,DIS1LDG6,702,DM8ZVJ7
85,DIS1M07D,1446,DMJHN0A
86,DIS1MM9J,331,DM4BDON
86,DIS1MM9J,401,DM58WKG
86,DIS1MM9J,1917,DMQ8FR2
88,DIS1QT3G,591,DM7HUNW
89,DIS1RRCY,135,DM1P6FR
89,DIS1RRCY,144,DM1TMA3
89,DIS1RRCY,211,DM2JGQ3
89,DIS1RRCY,261,DM3BH1Y
89,DIS1RRCY,473,DM62UG5
89,DIS1RRCY,738,DM9OZWQ
89,DIS1RRCY,1008,DMDIOAR
89,DIS1RRCY,1513,DMKECZD
89,DIS1RRCY,1689,DMN3A34
89,DIS1RRCY,1732,DMNPZL4
89,DIS1RRCY,1734,DMNQXV8
89,DIS1RRCY,1809,DMOQVU9
89,DIS1RRCY,2133,DMT5GNL
89,DIS1RRCY,2309,DMVR628
89,DIS1RRCY,2354,DMWCQP4
89,DIS1RRCY,2418,DMX6OE3
90,DIS1RSP5,137,DM1RBYG
90,DIS1RSP5,613,DM7RJXL
90,DIS1RSP5,1328,DMHTEAO
90,DIS1RSP5,1346,DMI40NL
90,DIS1RSP5,1391,DMIOGBU
