Index,DrugID,Drug_Name,SMILES
0,DM01P50,Digitalin,CC1C(C(C(C(O1)OC2CCC3(C(C2)CCC4C3CCC5(C4(CC(C5C6=CC(=O)OC6)O)O)C)C)O)OC)OC7C(C(C(C(O7)CO)O)O)O
1,DM01VUX,Santonin,CC1C2CCC3(C=CC(=O)C(=C3C2OC1=O)C)C
2,DM02A65,Temazepam,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3
3,DM02AWV,Tolbutamide,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C
4,DM02KMY,Plaunotol,CC(=CCCC(=CCCC(=CCCC(=CCO)C)CO)C)C
5,DM03CP7,Calcipotriol,C[C@H](/C=C/[C@H](C1CC1)O)[C@H]2CC[C@@H]\\3[C@@]2(CCC/C3=C\\C=C/4\\C[C@H](C[C@@H](C4=C)O)O)C
6,DM047HI,Vamorolone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4(C3=CC[C@@]2([C@]1(C(=O)CO)O)C)C
7,DM04LR2,Floxuridine,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)F)CO)O
8,DM053KT,Aprepitant,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F
9,DM05968,Otilonium bromide,CCCCCCCCOC1=CC=CC=C1C(=O)NC2=CC=C(C=C2)C(=O)OCC[N+](C)(CC)CC.[Br-]
10,DM05DR0,Sitosterol,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C
11,DM05FXR,Meclofenamic acid,CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)O)Cl
12,DM05HP4,Hidrosmin,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC4=C(C(=C3)OCCO)C(=O)C=C(O4)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O
13,DM05ZXO,Calcium Gluceptate,C(C(C(C(C(C(C(=O)[O-])O)O)O)O)O)O.C(C(C(C(C(C(C(=O)[O-])O)O)O)O)O)O.[Ca+2]
14,DM0659E,Cannabidiol,CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O
15,DM06HG5,Levomethadyl Acetate,CC[C@@H](C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)C
16,DM06QP0,Silver nitrate,[N+](=O)([O-])[O-].[Ag+]
17,DM07K2I,Eprosartan,CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)O)/C=C(\\CC3=CC=CS3)/C(=O)O
18,DM07TX3,Cefotetan,CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)C4SC(=C(C(=O)N)C(=O)O)S4)OC)SC2)C(=O)O
19,DM07U2A,Estradiol Acetate,CC(=O)OC1=CC2=C(C=C1)[C@H]3CC[C@]4([C@H]([C@@H]3CC2)CC[C@@H]4O)C
20,DM08E9O,Diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
21,DM091H2,Pantothenic acid,CC(C)(CO)[C@H](C(=O)NCCC(=O)O)O
22,DM0AEPG,Triacetin,CC(=O)OCC(COC(=O)C)OC(=O)C
23,DM0AG2E,Technetium (99m Tc) bicisate,CCOC(=O)C(C[S-])NCC[N-]C(C[S-])C(=O)OCC.O=[Tc+4]
24,DM0BQRS,Spinosad,CC[C@H]1CCC[C@@H]([C@H](C(=O)C2=C[C@H]3[C@@H]4C[C@@H](C[C@H]4C=C[C@@H]3C2CC(=O)O1)O[C@H]5[C@@H]([C@@H]([C@H]([C@@H](O5)C)OC)OC)OC)C)O[C@H]6CC[C@@H]([C@H](O6)C)N(C)C
25,DM0C63F,Mecobalamin,[CH3-].CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co+3]
26,DM0C9IL,Ranolazine,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O
27,DM0CVXA,Mechlorethamine,CN(CCCl)CCCl
28,DM0D9YJ,Dirithromycin,CC[C@@H]1[C@@]([C@H]2[C@H]([C@H]([C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)OC)C)O[C@H]4[C@@H]([C@H](C[C@H](O4)C)N(C)C)O)(C)O)C)N[C@H](O2)COCCOC)C)(C)O
29,DM0DJ9O,Flupentixol,C1CN(CCN1CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO
30,DM0DQM5,Amlexanox,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N
31,DM0DTF7,Zonisamide,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N
32,DM0DXA8,Droperidol,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F
33,DM0E6S3,Suvorexant,C[C@@H]1CCN(CCN1C(=O)C2=C(C=CC(=C2)C)N3N=CC=N3)C4=NC5=C(O4)C=CC(=C5)Cl
34,DM0EP7M,Minaprine,CC1=CC(=NN=C1NCCN2CCOCC2)C3=CC=CC=C3
35,DM0EZ9Q,Pramlintide,CC[C@H](C)[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N2CCC[C@H]2C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC3=CC=C(C=C3)O)C(=O)N)NC(=O)[C@@H]4CCCN4C(=O)CNC(=O)[C@H](CC5=CC=CC=C5)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CC6=CNC=N6)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC7=CC=CC=C7)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](C)NC(=O)[C@@H]8CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N8)[C@@H](C)O)C)[C@@H](C)O)CC(=O)N)NC(=O)[C@H](CCCCN)N
36,DM0FB1J,Sertraline,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl
37,DM0GIPM,Gitalin,CCC(C)C(C(=O)NC(C(C)O)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(C)CC)C(=O)NC(CC(=O)N)C(=O)O)NC(=O)CN
38,DM0GQ8N,Amobarbital,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C
39,DM0GUSX,Ranitidine,CN/C(=C\\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C
40,DM0HS92,Merimepodib,COC1=C(C=CC(=C1)NC(=O)NC2=CC=CC(=C2)CNC(=O)O[C@H]3CCOC3)C4=CN=CO4
41,DM0HXDS,Pentostatin,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC[C@H]3O)CO)O
42,DM0IO13,Ipriflavone,CC(C)OC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=CC=C3
43,DM0J2ZT,Safinamide mesylate,C[C@@H](C(=O)N)NCC1=CC=C(C=C1)OCC2=CC(=CC=C2)F.CS(=O)(=O)O
44,DM0JE6N,Metixene,CN1CCCC(C1)CC2C3=CC=CC=C3SC4=CC=CC=C24
45,DM0JEFO,Rose Bengal Sodium I-131,C1=C2C(=C(C(=C1I)[O-])I)OC3=C(C(=C(C=C3C24C5=C(C(=C(C(=C5Cl)Cl)Cl)Cl)C(=O)O4)I)[O-])I.[Na+].[Na+]
46,DM0JXFL,Temocapril hydrochloride,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]2CS[C@@H](CN(C2=O)CC(=O)O)C3=CC=CS3.Cl
47,DM0KCV1,Trientine Hydrochloride,C(CNCCNCCN)N.Cl.Cl
48,DM0KT0Q,Ganglioside gm1,CCCCCCCCCCCCCCCCCC(=O)NC(COC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)O)OC4C(C(C(C(O4)CO)O)O)O)NC(=O)C)OC5(CC(C(C(O5)C(C(CO)O)O)NC(=O)C)O)C(=O)O)O)O)O)C(C=CCCCCCCCCCCCCC)O
49,DM0KYI4,Mebutamate,CCC(C)C(C)(COC(=O)N)COC(=O)N
50,DM0L594,Ivabradine,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)C[C@H]3CC4=CC(=C(C=C34)OC)OC
51,DM0L71K,Melinamide,CCCCCC=CCC=CCCCCCCCC(=O)NC(C)C1=CC=CC=C1
52,DM0LPI9,Netarsudil,CC1=CC(=C(C=C1)C(=O)OCC2=CC=C(C=C2)[C@@H](CN)C(=O)NC3=CC4=C(C=C3)C=NC=C4)C
53,DM0MQ35,Spectinomycin,C[C@@H]1CC(=O)[C@]2([C@@H](O1)O[C@@H]3[C@H]([C@@H]([C@@H]([C@@H]([C@H]3O2)NC)O)NC)O)O
54,DM0N3L7,Ethopropazine,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31
55,DM0N85H,Vidarabine,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)N
